Indice_combinado,Indice_temporal,Indice_origen,Digito,Origen,Hash
68,68,68,9,v1,c654a03f8a8ac99c2edc37690ca69f75
69,69,69,9,v1,7ded0b9e43b6dc8970062019306ca66f
70,70,70,9,v1,07d2fe99bfbb3aa7f4b4c78e1eb5557c
71,71,71,9,v1,d76e713eec608d7f65683e4c83992aef
72,72,72,9,v1,84ef7dbc8881d57f71fd017bec140797
73,73,73,9,v1,fa1acdbcec278b0bbc7d347479dfa4ec
74,74,74,9,v1,d63bf3b73d4943c4c6b3e28dc1eaf0c1
75,75,75,9,v1,f99cf2e2a53a22d9ef4f0fe31436889d
76,76,76,9,v1,8cda57037739cca14a1b44047bfe5c1c
77,77,77,9,v1,831085e85d81f71b62a6183a4fc60bde
78,78,78,9,v1,d954a18ef8f707889e04d1bc9e804440
79,79,79,9,v1,f6568983551aef5ae35fe8ce95443bf5
80,80,80,9,v1,4dfd0ea2b7e77a2c1b01c0c4cdc684e4
81,81,81,9,v1,adcf555389fce40f1d7023b64197755c
82,82,82,9,v1,bf4e889edbf400bc931465c652e90792
83,83,83,9,v1,850cb3e8f6b527a463a6cad6604ef635
84,84,84,9,v1,2686164c18f1d4ca46d27df7f4086775
85,85,85,9,v1,855a7a8131cd3757426e837634ec7e4f
86,86,86,9,v1,1d8e98a0f9ae04ab7bc8ef5ff329a6d3
87,87,87,9,v1,bd2388e429fcc3e21a69b7fbcab4ce8c
88,88,88,9,v1,4969cf22e520a18406769b8ef7c36d1f
89,89,89,9,v1,d54e9c8a5eddf85e7ea99b93208111a0
90,90,90,9,v1,f4000a17f200cc67db25a85180d0ea7a
91,91,91,9,v1,bb1821140743ae0b4368b0d34b12077a
92,92,92,9,v1,3a9bb58e79e1f17f61f58ce55d959cf4
93,93,93,9,v1,8da1db947715662f2fa16973588e0979
94,94,94,9,v1,e78d022928d2c5cfb55111001efaac2b
95,95,95,9,v1,2330aac6219191a2ebee9fb8ce31fba0
96,96,96,9,v1,0443726c78060bb6bff9a07449d64c62
97,97,97,9,v1,0b9596a00a594b51f28b9c1568f8c7aa
98,98,98,9,v1,73500b4453d054fa7942bd6b882f5e8b
99,99,99,9,v1,059db80ad721108336ea835ba1125296
100,100,100,9,v1,d61340c1c588cdb0ab4e58a658fe4c70
101,101,101,9,v1,d8652102e86a327b70a79acaf64ba8ab
102,102,102,9,v1,9696667250e6ca09ee52d28ca8747608
103,103,103,9,v1,5cd59e1c101a7bdf8dca9b6cb06eb525
104,104,104,9,v1,b230650e4535b073a0b61f97228ec892
105,105,105,9,v1,6fdc55cb178cf50460c9baf22d9f3fbb
106,106,106,9,v1,f438ad669d631f84502bda8a24d6b50c
107,107,107,9,v1,b5c6c4fe8b0d3a3f8a5c134cfcba2552
108,108,108,9,v1,e751f0533b116a1fd31def250b8b24c5
109,109,109,9,v1,f55685443d5facfa66336528387586b4
110,110,110,9,v1,13f4fddd1cb4c130cdc17b1bd0f66226
111,111,111,9,v1,70847bfa148f21963fb7457e9b4ad58c
112,112,112,9,v1,5f4bfce3cd9bd376c4e209a416451c0e
113,113,113,9,v1,370f860afde85d11eb7a8901cb041e84
114,114,114,9,v1,4a657c18e694ffae68545fd7839226f0
115,115,115,9,v1,53b927e55c53925fc99eaee9689b644c
116,116,116,9,v1,24f11c047434d0982f97fc14e8d489a1
117,117,117,9,v1,8c9ee6b98d763ff68c3aa09273ab2844
118,118,118,9,v1,dedd36f6e4d5f79f3d1c385b0f51de8e
119,119,119,9,v1,ab3fde057ecf67e0ff6fc96f64c58f81
120,120,120,9,v1,4ed421800d34df9db1bfc28ce762cf7e
121,121,121,9,v1,cb8d5334ce85e25d74ad911855b8787b
122,122,122,9,v1,067c086d71d9ea5310ad9b87667e5c6d
123,123,123,9,v1,7d47e7cd9d87db385131102da34bdc83
124,124,124,9,v1,a245c502f432777722b23d0a811b02d4
125,125,125,9,v1,1e09c1899a76993f89f0c40b46240efe
126,126,126,9,v1,5f4d9992b83f4891b260f9ae449c9fe0
127,127,127,9,v1,e23a24eb076db71091fef6f60c9d9d2f
128,128,128,9,v1,e743e20004e479fb2efd0e7c5b44785a
129,129,129,9,v1,7282c69a138d49043a37ef152b965a62
130,130,130,9,v1,c16abaf6810af3abada64c861473b643
131,131,131,9,v1,c175af3455da49c4f41cf0fabdeadc32
132,132,132,9,v1,a9a84072a0a1b381964370419de6e504
133,133,133,9,v1,5aef69885e3fe8ce795377af75869c00
134,134,134,9,v1,f3e238728f9ca1aedfde3c414e71cbfa
135,135,135,9,v1,6023a3c37b57993fdd7b826402d9e9a5
136,136,136,9,v1,075823b789fc66eadf78d17e61acfa69
137,137,137,9,v1,e14bca1afcda0b226cd89ed9351b28bd
138,138,138,9,v1,70f7d5cf706b4881563a7fc2fe628a92
139,139,139,9,v1,5ce265009ce7d863f15497ef9f19a019
140,140,140,9,v1,0cd656aeede1cad5d11a4cc72408fd06
141,141,141,9,v1,1f211341d8c9971d4136ef94acdb9c1e
142,142,142,9,v1,0e0de8602afb631a5f7420a591bd6595
143,143,143,9,v1,b00920e704f9d3bd36e44821d9b2ea8f
144,144,144,9,v1,52fddd43a2809b128498ee79db8694d4
145,145,145,9,v1,c3cb45d86475b5e311ab0dd5da9736b7
146,146,146,9,v1,86ed01b50f30e986c2593da6af5158e5
147,147,147,9,v1,5c1233777cb833668ffc55612cfbef18
148,148,148,9,v1,f7d95cb3cf91f6399180a2e2ca5fac05
149,149,149,9,v1,0e5c3181ace7c2beed81090cbbcb8458
150,150,150,9,v1,d82a3988b22b480822b99257eec65cf9
151,151,151,9,v1,706c4d6292a22b7a326ac090b493e9d7
152,152,152,9,v1,b5ba743c11090bb177647d8971d79f41
153,153,153,9,v1,1ec3a56c7f2415236b1538231c3f209e
154,154,154,9,v1,f3e73bff8aa64188e75043152d266334
155,155,155,9,v1,e47003049a8f062d6aead509989d5810
156,156,156,9,v1,1f635f9c1f5bc1b38911fec300fbf712
157,157,157,9,v1,7209a5746d2bb7ee5f35a0745a0ae31f
158,158,158,9,v1,a4ebba191f332c77ed6cb02dc7a631ff
159,159,159,9,v1,e23b9a6d8a9b3826eb654d9ba87090b9
160,160,160,9,v1,596fca940c6fbff10dfabf8f8c8b1724
161,161,161,9,v1,ad78b2fab538980fa506e6e09d53cc0d
162,162,162,9,v1,e875996b645c8ce6a0bd9cc88d1fb6af
163,163,163,9,v1,1760196c0cc15da3efd64ffe94005bcd
164,164,164,9,v1,9012dea0a32b821529879d42c0bd8d92
165,165,165,9,v1,70c4c74557e9fc9bbb73271c264512a6
166,166,166,9,v1,61eee4811fb678ad674c6f5692a2b37b
167,167,167,9,v1,693b8482a37dcdd13e84b0847180b36c
168,168,168,9,v1,499e74bdd28deec4113ea191836cc81b
169,169,169,9,v1,90ab0f03e2ec9c92d989c5fac65b1724
170,170,170,9,v1,667cc332cc96a5a8539a944ee75cdec6
171,171,171,9,v1,3beceda6b33a0def19972310fa642392
172,172,172,9,v1,b277d658b3748df0bb62e1db0d0d69fc
173,173,173,9,v1,a0348146517b908e69317cc4997b0952
174,174,174,9,v1,68855a5d8a129caad725df8a55de0fb7
175,175,175,9,v1,064bf5ba557914d61a5b7726b0e5e34d
176,176,176,9,v1,ab3f83a1cc87cd10122b7bfc96990b6f
177,177,177,9,v1,be3b7cce259cad2e25493a0c5b993bf4
178,178,178,9,v1,ab4ef0dd65182caad994383177f72234
179,179,179,9,v1,c2ac6958ffbe89e8ccd3aa36e705a390
180,180,180,9,v1,3750648ef3ebe4023b4ebac61901763b
181,181,181,9,v1,25a5dbd13366868c5ac5e2678c359358
182,182,182,9,v1,31394c0dc6e30dd661d6d6667c1280d3
183,183,183,9,v1,3728f132fcb5bb84cf5b0aee6f76029d
184,184,184,9,v1,3b58ecb6e1929fe5308f1c4df5ff6393
185,185,185,9,v1,2bba0348f6a02b1b19978bac3f1617be
186,186,186,9,v1,a9887e5e3920eb9d1a1fcace18d70b18
187,187,187,9,v1,227a105bf81ece376073c3af07340ddb
188,188,188,9,v1,c3b85820886b9503534b5817cc57a277
189,189,189,9,v1,07e1312b603d0bed9705df3ecf8a2c8e
190,190,190,9,v1,adf0667e9b119a3d999e51055668ff1f
191,191,191,9,v1,3542af1a46b1535bffefa30bcc76c334
192,192,192,9,v1,f19fa00236a5e6e8e4a5818cd295b312
193,193,193,9,v1,f47ab1998cbfc8877e1fe4f31c6dd531
194,194,194,9,v1,9a4c21d799b0877fab122cfc4d823c2c
195,195,195,9,v1,96177a9f5dd34b789c473c8c9842da48
196,196,196,9,v1,e7d6f9efc4bc4a29e737e034d355ac21
197,197,197,9,v1,a93cb6ae94a0091b6e00d5a697e74798
198,198,198,9,v1,b63db081671f057c66b20c7ab4ee09bc
199,199,199,9,v1,0ebf8ccfd24ea8bb7c3d2436015458c6
200,200,200,9,v1,908e7bc5c1c7b49925028961a977caf2
201,201,201,9,v1,1eaef6346eddcb8118b7cd3e2fa39c16
202,202,202,9,v1,114a1e858a41e64bc00fdf5a5053e953
203,203,203,9,v1,b9405b00c3176e5537a88343e9aa08c1
204,204,204,0,v1,426f1146fd26179662ae4c3ac9f5eb40
205,205,205,0,v1,e55540b33328b0e903d944371e222362
206,206,206,0,v1,166f3acbe1465034f9956fb9f9db3194
207,207,207,0,v1,4f99bf47708a891390da8c5a9f86f502
208,208,208,0,v1,22a0367c208d0286be928dfb73d458bd
209,209,209,0,v1,eafa46a4d03fdb7a7a3db7ef71133ecd
210,210,210,0,v1,7dbe4c6fb3ef6a0596aa7f21a9044aa1
211,211,211,0,v1,5473c1703dd46cf4618bc5e49e6f0e83
212,212,212,0,v1,76a0511e046065d885ac5dbccec5c1a3
213,213,213,0,v1,1da4e48b210abb1e8de1d77ee6286cf9
214,214,214,0,v1,a156d05bc8d213ab04d1c917840c848c
215,215,215,0,v1,6a380b02adb31535eb16b03eb725e70c
216,216,216,0,v1,2ae5abd36c7a8a6f254eb2c845c01344
217,217,217,0,v1,48a782f08b92b19cb10c0250d909ab4f
218,218,218,0,v1,37f71f3f6fd46d07c71b9d83ebca90f8
219,219,219,0,v1,45d4fd8eb43509eaf36ba1ddb82feff4
220,220,220,0,v1,3007486b0649331e802a04a35aace7b2
221,221,221,0,v1,32386c3ca194667471bf093179d09953
222,222,222,0,v1,9a6ff92f40bd946185ee011e2ed26988
223,223,223,0,v1,fbf3d3e59ebc126d91c8bd8769ee7843
224,224,224,0,v1,14bc6b61ec4f641d600932befe2dc39d
225,225,225,0,v1,79f7fe417194b282233219fc0a9ae5fc
226,226,226,0,v1,c81c91f4125213398c38fc5b4b95156c
227,227,227,0,v1,943e54322bc29e4cd621d1e01134391e
228,228,228,0,v1,6f7983951cce712f73b54fad324cdcba
229,229,229,0,v1,f4fa622543f8adef908d7cbe4148d68b
230,230,230,0,v1,d9c6524350f41ee01947c067b3cc4fb9
231,231,231,0,v1,5e3a1f30f9df5e2783cb7473b02b682c
232,232,232,0,v1,96f08d8de92d4d18d709da073c3a22a5
233,233,233,0,v1,f3f941b292da6fe96c12e416445dd05f
234,234,234,0,v1,cfed65434fa525c6f1e536b5eff62e54
235,235,235,0,v1,fe57c61063df6041942d94a57236c692
236,236,236,0,v1,06b4a3ff10b7d3dc4c27be841134205b
237,237,237,0,v1,eb1d6f35ce57ca0cf9dd206f6b76c056
238,238,238,0,v1,42e9cdb4fda246016d0097dbf863e563
239,239,239,0,v1,6296ed8a27fb4886bd55f25dc8ab494f
240,240,240,0,v1,9e5c41a993a51b8ffe47dc256e70434a
241,241,241,0,v1,b85458eccb329014195d591237012b66
242,242,242,0,v1,28923cf502cbbd91ca142d0373916f57
243,243,243,0,v1,afadd41899ad9891832b7c3438b0ce91
244,244,244,0,v1,e689201a1bccb24c9b4347f70838c165
245,245,245,0,v1,ef4cd96eae54cd7c5aafe4beccecbfff
246,246,246,0,v1,04cebb7af39a00b0d2f07af348ba0081
247,247,247,0,v1,eecf8998d914f66ef18f6bc0aaa457ab
248,248,248,0,v1,1c4c3765240405397ebee86b7e87136e
249,249,249,0,v1,7fd51516bf7de4f37550978c978341e7
250,250,250,0,v1,d3c149054bb80d40dd20bcb01930e220
251,251,251,0,v1,79eeb7edf511b9adaa28d7664e0267d7
252,252,252,0,v1,3992ae114647486e4102f7070cf387b2
253,253,253,0,v1,094b535c47993f57af0d2776cee1bb9f
254,254,254,0,v1,d498f3baba52667358eb23c263093b95
255,255,255,0,v1,df5f065f3209f61794618cecefc15bee
256,256,256,0,v1,c51b6c77503bd3cce385daad99a31098
257,257,257,0,v1,3b7f055792b35ec13ed1202ba26b1fc2
258,258,258,0,v1,6aef8421f42fa57b36a55a0ade4f78d4
259,259,259,0,v1,522fae973c89d206cc6398679d669862
260,260,260,0,v1,d31028efe8181e38f191f51aed400a2f
261,261,261,0,v1,efffde0d414e43df2fd039db7d606835
262,262,262,0,v1,9d530950bd6c44336d097224102faa4c
263,263,263,0,v1,3acfcb9c83f2dac9f732e78d78117e53
264,264,264,0,v1,0305e3c1d707faeb04fb7dae7aa63378
265,265,265,0,v1,e963d9c0ce90b2464333b54b8d7cc9ea
266,266,266,0,v1,5ed3ec7b4c9df8f8e8b60cc6f500a634
267,267,267,0,v1,6991c19c64e1d85ee66b0c7676a59516
268,268,268,0,v1,f9b347d5e0f4e5554681bfe644c1e1de
269,269,269,0,v1,e41a70c71e46b9acce4c54518e950e7f
270,270,270,0,v1,005adee44178ea18c5da0656e5bcdbb6
271,271,271,0,v1,515ba06f28192dae130831c2c7ea6130
272,272,272,0,v1,0b1f239ddddf1ffc91dc1f7c399507e3
273,273,273,0,v1,b2952528b50620952cebf5c641b6561c
274,274,274,0,v1,6d8db58e97cefff0da8bf66ec93df7a9
275,275,275,0,v1,fd87cbdcbcc87c45f0c913910fd3ea47
276,276,276,0,v1,4227152e74e20ca192f7e606cffd9c0d
277,277,277,0,v1,780b719b5ff91f41d8e905753ed3705e
278,278,278,0,v1,9a271738f3a9722ead720f31442b3ae0
279,279,279,0,v1,831e793e0bbc4bd4b87625332b46df86
280,280,280,0,v1,fb6af81e310cc6db6cf610da8f94b778
281,281,281,0,v1,82f7aba7c3676d84d3539c2921af661e
282,282,282,0,v1,e288e6683f7bbc463ed216c9d4dc01d7
283,283,283,0,v1,8b550719da3538f84b998a65d0d706f1
284,284,284,0,v1,c02ad756c0cf9eb65648afc0686aa388
285,285,285,0,v1,c5e64110f3e89276c72f311beaca5ad9
286,286,286,0,v1,b3cccb5c76bfb7f9bb542503ba02c621
287,287,287,0,v1,44d92ca752a2e18425c51b7456fbf240
288,288,288,0,v1,286953d64051e285de42945691719ff6
289,289,289,0,v1,62aa8dd8b077d3610cedab52ee43d9e4
290,290,290,0,v1,0063b31ddb9653e5fbf6d18ad6509b15
291,291,291,0,v1,4b2af2ff8edb8dbbd5973a00c883e540
292,292,292,0,v1,eaa8d5ad95e7bcfcb0370e9242b8ffd2
293,293,293,0,v1,a401d2d87e14f2127133732182bbacd2
294,294,294,0,v1,bf8b1f0d1f3bac320aba36de6f8f87e4
295,295,295,0,v1,00e94ec2b8c314bbe8462e79011e628d
296,296,296,0,v1,b47fa4c791da416c66a5e22507c01802
297,297,297,0,v1,53565c82c2b2f1843e4a8c40d8e2f7ff
298,298,298,0,v1,c0c3e9da521d584ee32b90614d4771cc
299,299,299,0,v1,0b5e6afe354e5a5cf57b6522bd58f625
300,300,300,0,v1,d85d2e3b014d5a65972af1c6b564b61d
301,301,301,0,v1,a0c4688aae80702174b533ef9728abbd
302,302,302,0,v1,5c0d163bfd3ccdc3d95dce7442c6c5ac
303,303,303,0,v1,0970da6f6a8fe89d6e54f12f97b19e98
304,304,304,0,v1,2fad6b3eb3fafff76d5709054426d9da
305,305,305,0,v1,94f7dc2e1533bd73f87816d46fab1b82
306,306,306,0,v1,b54755acb683ffea9f9c9d0e0fd4a2ac
307,307,307,0,v1,5f87ff39f55b8bdeaab357d78ede3b75
308,308,308,0,v1,2eb15bb6b45015fdacb854f3d987d526
309,309,309,0,v1,e3be6c95beba646e6a416f810b1b7b83
310,310,310,0,v1,a58f53490b9c22fbfb32081e544f2acc
311,311,311,0,v1,c390aaa3cab1808e35053d0c15a7d323
312,312,312,0,v1,3f33164b619c7f6ec580c04778ee84ed
313,313,313,0,v1,694df016d2994343e4cc7f5b1908f591
314,314,314,0,v1,9000e81f6bdfb5a8501b1912cd1d3a51
315,315,315,0,v1,1025819ff7f10d5e22f870cf81b5a8df
316,316,316,0,v1,4a3c3a1bcfdc457a93daef27a391338a
317,317,317,0,v1,ebed8d5c8bc596b2fd5b76856735239c
318,318,318,0,v1,d0b07a403e3ff80932046b639b4a7ead
319,319,319,0,v1,1fee81f39819315459a83683a20c0c1c
320,320,320,0,v1,5addd33a01c80c339a7e4329c340dbf8
321,321,321,0,v1,36c4354ff60e94167f7806c498ff7cd1
322,322,322,0,v1,c5ac77fb7d0f1e5c0aad1ea979a33fe8
323,323,323,0,v1,85f31287baf91ef1e78d503be01e5333
324,324,324,0,v1,c757e252c825399d1189ba30267ca6af
325,325,325,0,v1,6a8cc4fa9e8f2ad938f567b94f0fd1d1
326,326,326,0,v1,7f8911b61a2f7137ef54e3896ae95f4e
327,327,327,0,v1,6f9f8cc1fbeef28bc6d7d22835640fcd
328,328,328,0,v1,acc51fc74ba26a371bf0e6ded9297779
329,329,329,0,v1,d1ad672583750db3b845cf2771b132fd
330,330,330,0,v1,c9b275a65a0a6423ea8de0acb8da0bdb
331,331,331,0,v1,b7e27713144a0f26345c5f316cfc2b4a
332,332,332,0,v1,7c9639db74195500da88b05aba30c536
333,333,333,0,v1,f8d09fe445b32cc274ea6f123001b947
334,334,334,0,v1,035d733b6c0599c4441be0c0333f143c
335,335,335,0,v1,9ab08bb84931f23e2acf6fe7ba3db999
336,336,336,0,v1,e5e505ef2446e22260b250d3ffb0145f
337,337,337,0,v1,eac1e4e595b1a01327e1d76e13c843bd
338,338,338,0,v1,739d7267db9fa19438d59b79068732db
339,339,339,0,v1,8188e95875158d40dc63d246491710d2
340,340,340,0,v1,af6a74bdbda76dfa89f54f595f297af2
341,341,341,0,v1,3a1b664296d471ed160982ab1fa91dd7
342,342,342,0,v1,d65a743b0a7f998e4405ec54f1668aa0
343,343,343,0,v1,e86d387d052696c3e653bc69d17050fa
344,344,344,0,v1,e9e796d4313b3fb603c485f99447234a
345,345,345,0,v1,97ce1c764d97a99bf0380acb59e241db
346,346,346,0,v1,b56add07a3ccdeb1413bfed273cfcf6f
347,347,347,0,v1,4d4f5cf5ff44a4de2696134132d97171
348,348,348,0,v1,2b9ada8f3b316690a3d6a19c33463530
349,349,349,0,v1,bb2047abbe9fa58d6d4fae0c7cdbc944
350,350,350,0,v1,d2e98c980cacdacf8e181f7b63ce6bf9
351,351,351,0,v1,b57d1903a64225d7d9a652f244fd00dc
352,352,352,0,v1,64b37f70fce216a50feecd3678d8d288
353,353,353,0,v1,c1e6aabbc0e7a866ef0a3c1c8065900b
354,354,354,0,v1,c6b589ff66415aa72ebcde6b989e836a
355,355,355,0,v1,fddddead19388b1cdf5f36514e23c34d
356,356,356,0,v1,0842a33f6448944e1fe92ce13587dc02
357,357,357,0,v1,5566566ddff1656bd30f75b64b1c86d7
358,358,358,0,v1,1c145d706b03e81c1c675a80fd7f1808
359,359,359,0,v1,8d753536ad6f5ed51537a95848a136ba
360,360,360,0,v1,878bcf62d7c1a840bf5f379f184ae481
361,361,361,0,v1,85aabe5e946dce5b8b95ba4c95cdff5a
362,362,362,0,v1,c9a24597c2ce8829be9f2431609af7bd
363,363,363,0,v1,3ae8fbdccbeef8a69e7e6adb829d98c9
364,364,364,0,v1,980abd0a804be96939ee1a5ebd4a18ee
365,365,365,0,v1,6f06f7006056afe5d2ee32385e0e89a5
366,366,366,0,v1,71ce8f031717045883cf65b4927bcc91
367,367,367,0,v1,f887d84ac65c8016d11e0bd52a7b98c4
368,368,368,0,v1,3949b7d345cfe19871b39e458e87eff6
369,369,369,0,v1,ce6a825af83c1a53c3b1b9f2f242a538
370,370,370,0,v1,7bcc005f5d0db33ebcdf5e45da6534c4
371,371,371,0,v1,a4111d29cf25ec76c1b611977763681f
372,372,372,0,v1,6fd346dd7d6fa47e5246ce7a396d7d5b
373,373,373,0,v1,d427d7e8366838de9e1a7a12c9296879
374,374,374,0,v1,00ab3adbb8033ebda0f4e4ce49c4c9e6
375,375,375,0,v1,999b252661f0a25115120b2a7666b4a7
376,376,376,0,v1,d54504b6cf0588b7c62d50ddd473f7fd
377,377,377,0,v1,c846771850ad1b0911fda3ca856cd083
378,378,378,0,v1,04dc6e116bc794670b2739dc96debe13
379,379,379,0,v1,b69000ce96dae9bf4a4e6f21989b607e
380,380,380,0,v1,dfa4b1cb7760a8f1cc176124a5fb54b4
381,381,381,0,v1,1e62e800cdec9d052778f78e73f4eff5
382,382,382,0,v1,cc895c21273f23779fccba412725512d
383,383,383,0,v1,3b19c122f4137a4b807bb348bd33f257
384,384,384,0,v1,3d88017cd3aa70bc006841ee2ea36723
385,385,385,0,v1,c3867597787191df2bf6667629b66800
386,386,386,0,v1,7ed168cfa988f2dca0be7f9d6591007b
387,387,387,0,v1,0e461a3d7aa9b0f82273345689a3ec13
388,388,388,0,v1,124f8e863646e3757698d7062a85d97a
389,389,389,0,v1,e587c25e397c82c870d2ff332fdd5c93
390,390,390,0,v1,4543cdb6e495cc20ba326228d9120bfe
391,391,391,0,v1,e381896ba853afb13e272304bc9ceb38
392,392,392,0,v1,90fd550dfaeb684a8c381d43a3694515
393,393,393,0,v1,356c2123c81ab0706c492732791cbd48
394,394,394,0,v1,a48f74c175898db84c56374d9269ef2e
395,395,395,0,v1,fa5541f5b045db12035db9acdcb54790
396,396,396,0,v1,72ea29d73bf88f7f0c132d9559e18c30
397,397,397,0,v1,29d7178f863db319b1ced73326b85f5d
398,398,398,0,v1,07383c309d9c48a69f37bf757b790717
399,399,399,0,v1,13d549af6852186131993d3840ec1f93
400,400,400,0,v1,320929fa03742ebe0fd36f662cfae164
401,401,401,0,v1,573c54e233a2acb032102ae8e5ffba0e
402,402,402,0,v1,4caa4dee2db3d17d980bb81eab70145d
403,403,403,0,v1,ed5cd55f1c337d0e9feb7ab4f3be1850
404,404,404,0,v1,acba3f7f8e4d3ce600a17279ec61fcc7
405,405,405,0,v1,a6470c1faf0f72b32b212f03df3a988b
406,406,406,0,v1,5673e16f2d991b54f79bedf386f652ff
407,407,407,0,v1,0a7ab904fe06ae1509284142f497d57a
408,408,408,0,v1,5622abd129fe6a85b2cae3a16c72855c
409,409,409,7,v1,c74baeeab0c5a4b27f3f02851027293f
410,410,410,7,v1,fae4b0ef43b2f82a77f5d35e10c6080e
411,411,411,7,v1,069461b9058f9ebc0da156785ef51518
412,412,412,7,v1,3a352135ded225310cf198d9b5605d53
413,413,413,7,v1,4451bc33ee9656e55103c76a001c3ef9
414,414,414,7,v1,c8f19db42dca2df47a5656066c17bdd4
415,415,415,7,v1,a31ef17c76378f4848c6c6818f30ce83
416,416,416,7,v1,a5c8d545e09539b9833079e70c5527fe
417,417,417,7,v1,2aa198753fc760f0444b0ec43cf613f7
418,418,418,7,v1,91a11ce0081563352b71a78e2638006c
419,419,419,7,v1,62003da252aa0a3ef459e0e8e852a75b
